,direct_radiation (W/m²),diffuse_radiation (W/m²),Hora,Data,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh),Injecao na rede (kWh)_code,temp,humidity,wind_speed,rain_1h,clouds_all
56,33.0,69.0,8,2021-10-01,0.585,0.0,0.047,0,15.63,91,1.18,0.0,99
57,180.0,92.0,9,2021-10-01,0.064,0.0,0.187,1,15.71,85,1.24,0.0,94
58,352.0,105.0,10,2021-10-01,0.005,0.0,0.248,3,18.84,75,2.09,0.0,98
59,327.0,202.0,11,2021-10-01,0.0,0.0,0.258,4,20.39,67,2.19,0.0,100
60,307.0,238.0,12,2021-10-01,0.0,0.0,0.262,4,21.2,65,2.66,0.0,78
61,495.0,160.0,13,2021-10-01,0.025,0.0,0.329,4,22.24,58,2.66,0.0,77
62,429.0,182.0,14,2021-10-01,0.014,0.0,0.34,3,23.28,60,2.66,0.0,97
63,307.0,170.0,15,2021-10-01,0.02,0.0,0.373,3,23.77,62,3.46,0.0,100
64,191.0,155.0,16,2021-10-01,0.052,0.0,0.376,2,23.19,71,3.44,0.0,100
65,45.0,116.0,17,2021-10-01,0.189,0.0,0.267,1,21.63,77,3.05,0.0,100
66,2.0,34.0,18,2021-10-01,0.714,0.0,0.034,0,20.52,80,2.5,0.0,100
67,0.0,1.0,19,2021-10-01,0.422,0.0,0.0,0,19.49,86,1.45,0.0,100
68,0.0,0.0,20,2021-10-01,0.374,0.0,0.0,0,18.97,88,0.85,0.0,100
69,0.0,0.0,21,2021-10-01,0.255,0.0,0.0,0,18.94,89,0.97,0.0,100
70,0.0,0.0,22,2021-10-01,0.324,0.0,0.0,0,18.43,90,1.58,0.0,100
71,0.0,0.0,23,2021-10-01,0.331,0.0,0.0,0,18.41,91,1.11,0.0,100
72,0.0,0.0,0,2021-10-02,0.328,0.0,0.0,0,18.42,92,1.55,0.0,100
73,0.0,0.0,1,2021-10-02,0.526,0.0,0.0,0,18.42,92,1.92,0.0,100
74,0.0,0.0,2,2021-10-02,0.328,0.0,0.0,0,18.42,93,2.33,0.0,100
75,0.0,0.0,3,2021-10-02,0.262,0.0,0.0,0,17.9,93,2.32,0.0,100
76,0.0,0.0,4,2021-10-02,0.256,0.0,0.0,0,17.87,93,2.32,0.0,100
77,0.0,0.0,5,2021-10-02,0.256,0.0,0.0,0,17.59,93,2.95,0.0,100
78,0.0,0.0,6,2021-10-02,0.287,0.0,0.0,0,17.33,93,3.2,0.0,100
79,0.0,2.0,7,2021-10-02,0.377,0.0,0.0,0,17.31,93,3.55,0.0,100
80,8.0,34.0,8,2021-10-02,0.215,0.0,0.064,0,17.36,93,3.78,0.0,100
81,25.0,55.0,9,2021-10-02,0.087,0.0,0.167,1,18.44,93,3.57,0.0,100
82,27.0,122.0,10,2021-10-02,0.052,0.0,0.201,1,19.53,88,4.74,0.0,96
83,2.0,157.0,11,2021-10-02,0.099,0.0,0.27,2,20.55,83,5.41,0.0,99
84,0.0,162.0,12,2021-10-02,0.265,0.0,0.29,1,20.02,88,5.52,1.0,100
85,0.0,92.0,13,2021-10-02,0.741,0.0,0.214,0,18.98,92,6.18,0.0,100
86,64.0,187.0,14,2021-10-02,0.202,0.0,0.261,1,19.03,93,6.23,0.0,100
87,57.0,148.0,15,2021-10-02,0.735,0.0,0.244,1,19.03,93,6.55,1.0,100
88,11.0,80.0,16,2021-10-02,0.936,0.0,0.144,0,19.02,92,6.72,1.0,100
89,2.0,37.0,17,2021-10-02,0.418,0.0,0.056,0,18.99,91,6.66,1.0,100
90,0.0,13.0,18,2021-10-02,0.388,0.0,0.016,0,18.96,91,6.68,0.0,100
91,0.0,0.0,19,2021-10-02,0.52,0.0,0.0,0,18.43,92,6.86,1.0,100
92,0.0,0.0,20,2021-10-02,0.477,0.0,0.0,0,18.42,93,7.14,1.0,100
93,0.0,0.0,21,2021-10-02,0.55,0.0,0.0,0,18.42,93,7.37,2.0,100
94,0.0,0.0,22,2021-10-02,0.32,0.0,0.0,0,18.42,93,7.54,3.0,100
95,0.0,0.0,23,2021-10-02,0.352,0.0,0.0,0,18.4,93,8.4,3.0,100
96,0.0,0.0,0,2021-10-03,0.472,0.0,0.0,0,18.45,93,7.86,4.0,100
97,0.0,0.0,1,2021-10-03,0.429,0.0,0.0,0,17.29,93,5.26,7.0,100
98,0.0,0.0,2,2021-10-03,0.281,0.0,0.0,0,16.72,93,4.84,5.0,100
99,0.0,0.0,3,2021-10-03,0.337,0.0,0.0,0,16.58,93,3.45,2.0,97
100,0.0,0.0,4,2021-10-03,0.277,0.0,0.0,0,13.48,93,3.39,1.0,72
101,0.0,0.0,5,2021-10-03,0.263,0.0,0.0,0,13.46,93,3.76,0.0,51
102,0.0,0.0,6,2021-10-03,0.259,0.0,0.0,0,12.91,93,3.3,0.0,39
103,1.0,4.0,7,2021-10-03,0.259,0.0,0.002,0,12.36,93,2.47,0.0,40
104,57.0,42.0,8,2021-10-03,0.047,0.0,0.221,2,13.02,93,2.26,0.0,32
105,195.0,78.0,9,2021-10-03,0.015,0.0,0.299,3,14.65,87,3.25,0.0,23
106,272.0,104.0,10,2021-10-03,0.053,0.0,0.402,3,16.29,72,2.31,0.0,45
107,414.0,107.0,11,2021-10-03,0.236,0.0,0.502,3,16.88,70,3.08,0.0,46
108,502.0,108.0,12,2021-10-03,0.958,0.0,0.621,2,17.89,61,3.73,0.0,33
109,415.0,122.0,13,2021-10-03,0.57,0.0,0.417,2,16.89,67,3.61,0.0,28
110,338.0,136.0,14,2021-10-03,0.384,0.0,0.21,2,18.6,65,4.55,0.0,29
111,286.0,117.0,15,2021-10-03,0.205,0.0,0.278,2,17.92,69,4.75,0.0,36
112,284.0,89.0,16,2021-10-03,0.163,0.0,0.173,2,17.92,65,3.84,0.0,18
113,183.0,66.0,17,2021-10-03,0.329,0.0,0.194,0,16.82,69,2.93,0.0,0
114,47.0,33.0,18,2021-10-03,0.358,0.0,0.034,0,15.71,74,1.77,0.0,7
115,0.0,1.0,19,2021-10-03,0.472,0.0,0.0,0,14.6,77,2.25,0.0,100
116,0.0,0.0,20,2021-10-03,0.516,0.0,0.0,0,14.03,79,1.69,0.0,100
117,0.0,0.0,21,2021-10-03,0.489,0.0,0.0,0,13.46,82,0.91,0.0,100
118,0.0,0.0,22,2021-10-03,0.573,0.0,0.0,0,12.92,84,1.41,0.0,100
119,0.0,0.0,23,2021-10-03,0.591,0.0,0.0,0,12.93,85,0.35,0.0,100
120,0.0,0.0,0,2021-10-04,0.548,0.0,0.0,0,12.37,87,0.56,0.0,100
121,0.0,0.0,1,2021-10-04,0.527,0.0,0.0,0,12.92,86,0.62,0.0,86
122,0.0,0.0,2,2021-10-04,0.334,0.0,0.0,0,12.92,87,0.72,0.0,100
123,0.0,0.0,3,2021-10-04,0.34,0.0,0.0,0,12.93,87,0.77,0.0,95
124,0.0,0.0,4,2021-10-04,0.333,0.0,0.0,0,12.94,86,0.71,0.0,81
125,0.0,0.0,5,2021-10-04,0.337,0.0,0.0,0,12.93,88,0.59,0.0,94
126,0.0,0.0,6,2021-10-04,0.319,0.0,0.0,0,12.92,89,0.93,0.0,97
127,0.0,2.0,7,2021-10-04,0.33,0.0,0.002,0,12.87,88,1.16,0.0,78
128,26.0,37.0,8,2021-10-04,0.447,0.0,0.048,0,13.48,87,1.54,0.0,70
129,48.0,72.0,9,2021-10-04,0.372,0.0,0.129,0,14.03,90,2.07,0.0,69
130,42.0,127.0,10,2021-10-04,0.024,0.0,0.337,2,15.44,80,2.08,0.0,96
131,208.0,178.0,11,2021-10-04,0.013,0.0,0.298,2,17.63,77,2.52,0.0,89
132,190.0,159.0,12,2021-10-04,0.001,0.0,0.311,2,17.42,81,3.09,0.0,99
133,185.0,180.0,13,2021-10-04,0.182,0.0,0.237,0,17.51,82,3.3,0.0,99
134,207.0,170.0,14,2021-10-04,0.029,0.0,0.484,2,19.92,72,3.33,0.0,71
135,185.0,170.0,15,2021-10-04,0.084,0.0,0.424,2,18.06,80,3.06,0.0,57
136,160.0,125.0,16,2021-10-04,0.052,0.0,0.403,2,17.98,77,3.39,0.0,41
137,93.0,77.0,17,2021-10-04,0.25,0.0,0.237,2,18.43,72,3.12,0.0,69
138,22.0,28.0,18,2021-10-04,0.364,0.0,0.039,0,16.81,80,2.29,0.0,93
139,0.0,0.0,19,2021-10-04,0.638,0.0,0.0,0,16.29,83,2.09,1.0,100
140,0.0,0.0,20,2021-10-04,0.664,0.0,0.0,0,15.79,85,2.21,0.0,99
141,0.0,0.0,21,2021-10-04,0.699,0.0,0.0,0,15.78,87,2.61,0.0,100
142,0.0,0.0,22,2021-10-04,0.734,0.0,0.0,0,15.21,91,1.97,0.0,99
143,0.0,0.0,23,2021-10-04,0.5,0.0,0.0,0,15.19,92,2.66,0.0,100
144,0.0,0.0,0,2021-10-05,0.546,0.0,0.0,0,15.15,92,3.17,0.0,100
145,0.0,0.0,1,2021-10-05,0.492,0.0,0.0,0,14.64,93,3.35,1.0,100
146,0.0,0.0,2,2021-10-05,0.32,0.0,0.0,0,15.15,93,3.29,1.0,100
147,0.0,0.0,3,2021-10-05,0.319,0.0,0.0,0,15.18,93,2.93,1.0,100
148,0.0,0.0,4,2021-10-05,0.317,0.0,0.0,0,15.18,93,2.4,1.0,100
149,0.0,0.0,5,2021-10-05,0.316,0.0,0.0,0,15.7,93,1.87,1.0,100
150,0.0,0.0,6,2021-10-05,0.31,0.0,0.0,0,15.71,93,1.53,0.0,100
151,0.0,2.0,7,2021-10-05,0.312,0.0,0.001,0,16.27,93,1.43,0.0,100
152,0.0,29.0,8,2021-10-05,0.255,0.0,0.067,0,16.85,93,1.81,0.0,100
153,0.0,78.0,9,2021-10-05,0.151,0.0,0.188,1,17.37,93,2.59,0.0,100
154,24.0,158.0,10,2021-10-05,0.271,0.0,0.216,0,17.91,93,3.38,0.0,100
155,113.0,204.0,11,2021-10-05,0.188,0.0,0.281,1,18.48,93,3.09,0.0,97
156,220.0,199.0,12,2021-10-05,0.007,0.0,0.467,3,18.58,93,3.17,0.0,97
157,189.0,228.0,13,2021-10-05,0.228,0.0,0.588,3,20.18,89,3.5,0.0,100
158,254.0,208.0,14,2021-10-05,0.2,0.0,0.406,2,20.71,82,3.64,0.0,98
159,222.0,148.0,15,2021-10-05,0.065,0.0,0.424,3,21.72,76,3.36,0.0,97
160,175.0,134.0,16,2021-10-05,0.458,0.0,0.181,1,20.66,80,2.89,0.0,83
161,153.0,75.0,17,2021-10-05,0.339,0.0,0.202,0,20.6,81,2.52,0.0,43
162,39.0,29.0,18,2021-10-05,0.444,0.0,0.041,0,19.74,81,1.78,0.0,19
163,0.0,0.0,19,2021-10-05,0.547,0.0,0.0,0,18.89,84,1.76,0.0,21
164,0.0,0.0,20,2021-10-05,0.969,0.0,0.0,0,17.79,89,1.51,0.0,13
165,0.0,0.0,21,2021-10-05,1.157,0.0,0.0,0,16.8,90,1.42,0.0,5
166,0.0,0.0,22,2021-10-05,0.966,0.0,0.0,0,16.69,90,1.16,0.0,22
167,0.0,0.0,23,2021-10-05,0.918,0.0,0.0,0,15.65,92,1.19,0.0,38
168,0.0,0.0,0,2021-10-06,0.935,0.0,0.0,0,15.59,92,1.36,0.0,87
169,0.0,0.0,1,2021-10-06,0.698,0.0,0.0,0,15.67,93,1.49,0.0,84
170,0.0,0.0,2,2021-10-06,0.541,0.0,0.0,0,15.13,93,1.38,0.0,86
171,0.0,0.0,3,2021-10-06,0.41,0.0,0.0,0,14.99,93,1.78,0.0,79
172,0.0,0.0,4,2021-10-06,0.401,0.0,0.0,0,15.01,93,1.69,0.0,35
173,0.0,0.0,5,2021-10-06,0.409,0.0,0.0,0,15.47,88,1.74,0.0,30
174,0.0,0.0,6,2021-10-06,0.401,0.0,0.0,0,15.47,85,2.0,0.0,30
175,1.0,4.0,7,2021-10-06,0.402,0.0,0.001,0,15.47,84,1.96,0.0,11
176,66.0,42.0,8,2021-10-06,0.401,0.0,0.252,1,17.67,77,2.25,0.0,2
177,225.0,64.0,9,2021-10-06,0.001,0.0,0.401,2,19.54,71,1.72,0.0,0
178,378.0,76.0,10,2021-10-06,0.0,0.0,0.33,3,21.21,65,0.97,0.0,0
179,496.0,86.0,11,2021-10-06,0.0,0.0,0.312,4,22.31,67,1.05,0.0,0
180,571.0,89.0,12,2021-10-06,0.0,0.0,0.318,4,23.47,62,0.87,0.0,0
181,591.0,90.0,13,2021-10-06,0.005,0.0,0.323,4,24.59,59,0.53,0.0,0
182,553.0,89.0,14,2021-10-06,0.01,0.0,0.424,3,25.12,57,0.28,0.0,0
183,462.0,85.0,15,2021-10-06,0.0,0.0,0.407,3,26.03,56,0.99,0.0,0
184,330.0,76.0,16,2021-10-06,0.0,0.0,0.42,2,26.53,55,1.37,0.0,0
185,173.0,61.0,17,2021-10-06,0.344,0.0,0.256,0,24.95,61,1.31,0.0,0
186,39.0,27.0,18,2021-10-06,1.276,0.0,0.018,0,23.44,67,1.58,0.0,0
187,0.0,0.0,19,2021-10-06,0.697,0.0,0.0,0,22.32,73,1.83,0.0,0
188,0.0,0.0,20,2021-10-06,0.47,0.0,0.0,0,21.22,71,2.01,0.0,0
189,0.0,0.0,21,2021-10-06,0.516,0.0,0.0,0,17.67,86,2.2,0.0,0
190,0.0,0.0,22,2021-10-06,0.395,0.0,0.0,0,20.41,67,2.09,0.0,0
191,0.0,0.0,23,2021-10-06,0.486,0.0,0.0,0,19.95,68,1.82,0.0,0
192,0.0,0.0,0,2021-10-07,0.601,0.0,0.0,0,19.41,69,1.8,0.0,0
193,0.0,0.0,1,2021-10-07,0.369,0.0,0.0,0,16.98,86,1.93,0.0,0
194,0.0,0.0,2,2021-10-07,0.311,0.0,0.0,0,17.99,85,2.09,0.0,0
195,0.0,0.0,3,2021-10-07,0.309,0.0,0.0,0,18.3,86,2.23,0.0,0
196,0.0,0.0,4,2021-10-07,0.311,0.0,0.0,0,17.6,86,2.3,0.0,7
197,0.0,0.0,5,2021-10-07,0.309,0.0,0.0,0,15.62,87,2.33,0.0,1
198,0.0,0.0,6,2021-10-07,0.409,0.0,0.0,0,16.26,86,2.3,0.0,0
199,1.0,3.0,7,2021-10-07,0.412,0.0,0.001,0,15.58,86,2.34,0.0,0
200,67.0,40.0,8,2021-10-07,0.241,0.0,0.244,1,18.64,81,2.77,0.0,0
201,223.0,63.0,9,2021-10-07,0.026,0.0,0.327,3,21.53,51,2.18,0.0,0
202,378.0,76.0,10,2021-10-07,0.0,0.0,0.331,3,23.48,49,1.83,0.0,0
203,502.0,82.0,11,2021-10-07,0.0,0.0,0.325,4,24.86,47,1.76,0.0,0
204,577.0,87.0,12,2021-10-07,0.0,0.0,0.325,4,26.24,35,1.02,0.0,0
205,595.0,88.0,13,2021-10-07,0.236,0.0,0.499,3,27.36,38,0.78,0.0,0
206,556.0,87.0,14,2021-10-07,0.507,0.0,0.64,3,27.22,37,1.25,0.0,0
207,464.0,83.0,15,2021-10-07,0.0,0.0,0.385,3,27.89,38,2.02,0.0,0
208,331.0,73.0,16,2021-10-07,0.0,0.0,0.33,2,27.14,43,2.49,0.0,0
209,173.0,59.0,17,2021-10-07,0.092,0.0,0.238,1,25.64,53,2.15,0.0,1
210,38.0,25.0,18,2021-10-07,0.437,0.0,0.017,0,23.99,65,2.01,0.0,3
211,0.0,0.0,19,2021-10-07,0.684,0.0,0.0,0,22.32,70,2.03,0.0,0
212,0.0,0.0,20,2021-10-07,0.75,0.0,0.0,0,21.22,73,1.98,0.0,0
213,0.0,0.0,21,2021-10-07,0.682,0.0,0.0,0,20.66,76,1.92,0.0,0
214,0.0,0.0,22,2021-10-07,0.573,0.0,0.0,0,20.1,77,1.98,0.0,3
215,0.0,0.0,23,2021-10-07,0.577,0.0,0.0,0,19.57,78,1.78,0.0,0
216,0.0,0.0,0,2021-10-08,0.426,0.0,0.0,0,19.28,78,1.66,0.0,0
217,0.0,0.0,1,2021-10-08,0.376,0.0,0.0,0,19.92,68,1.67,0.0,19
218,0.0,0.0,2,2021-10-08,0.379,0.0,0.0,0,15.89,91,1.71,0.0,6
219,0.0,0.0,3,2021-10-08,0.353,0.0,0.0,0,19.36,71,1.71,0.0,3
220,0.0,0.0,4,2021-10-08,0.334,0.0,0.0,0,13.69,94,1.76,0.0,0
221,0.0,0.0,5,2021-10-08,0.333,0.0,0.0,0,13.35,94,1.74,0.0,0
222,0.0,0.0,6,2021-10-08,0.319,0.0,0.0,0,13.94,94,1.85,0.0,0
223,1.0,3.0,7,2021-10-08,0.344,0.0,0.0,0,13.2,95,1.74,0.0,0
224,66.0,37.0,8,2021-10-08,0.356,0.0,0.214,1,15.39,89,2.12,0.0,0
225,213.0,63.0,9,2021-10-08,0.0,0.0,0.323,3,23.04,61,1.39,0.0,0
226,365.0,75.0,10,2021-10-08,0.0,0.0,0.32,3,23.16,63,0.57,0.0,0
227,486.0,83.0,11,2021-10-08,0.0,0.0,0.325,4,24.55,60,0.24,0.0,0
228,560.0,87.0,12,2021-10-08,0.0,0.0,0.33,4,25.62,54,0.37,0.0,0
229,579.0,88.0,13,2021-10-08,0.008,0.0,0.38,4,26.62,48,1.15,0.0,0
230,541.0,87.0,14,2021-10-08,0.0,0.0,0.381,3,27.33,49,1.91,0.0,0
231,451.0,82.0,15,2021-10-08,0.0,0.0,0.364,3,27.28,47,2.4,0.0,0
232,319.0,73.0,16,2021-10-08,0.003,0.0,0.376,2,26.18,53,2.53,0.0,0
233,165.0,57.0,17,2021-10-08,0.208,0.0,0.231,0,25.08,57,2.19,0.0,0
234,34.0,24.0,18,2021-10-08,0.458,0.0,0.017,0,22.74,73,2.27,0.0,11
235,0.0,0.0,19,2021-10-08,0.949,0.0,0.0,0,20.94,77,2.25,0.0,68
236,0.0,0.0,20,2021-10-08,0.882,0.0,0.0,0,18.8,84,2.0,0.0,95
237,0.0,0.0,21,2021-10-08,0.589,0.0,0.0,0,18.28,85,1.77,0.0,98
238,0.0,0.0,22,2021-10-08,0.527,0.0,0.0,0,17.77,89,1.32,0.0,100
239,0.0,0.0,23,2021-10-08,0.445,0.0,0.0,0,17.23,89,1.47,0.0,98
240,0.0,0.0,0,2021-10-09,0.375,0.0,0.0,0,16.69,92,1.25,0.0,96
241,0.0,0.0,1,2021-10-09,0.384,0.0,0.0,0,16.63,91,0.98,0.0,95
242,0.0,0.0,2,2021-10-09,0.463,0.0,0.0,0,17.36,92,1.01,0.0,94
243,0.0,0.0,3,2021-10-09,0.413,0.0,0.0,0,16.74,91,1.14,0.0,94
244,0.0,0.0,4,2021-10-09,0.34,0.0,0.0,0,17.37,90,1.19,0.0,95
245,0.0,0.0,5,2021-10-09,0.323,0.0,0.0,0,17.09,89,1.11,0.0,94
246,0.0,0.0,6,2021-10-09,0.314,0.0,0.0,0,17.37,89,1.09,0.0,95
247,0.0,3.0,7,2021-10-09,0.374,0.0,0.0,0,16.82,91,1.01,0.0,83
248,39.0,50.0,8,2021-10-09,0.232,0.0,0.09,0,18.76,87,0.93,0.0,73
249,166.0,89.0,9,2021-10-09,0.242,0.0,0.304,2,20.15,83,0.45,0.0,91
250,334.0,97.0,10,2021-10-09,0.0,0.0,0.455,3,20.98,82,0.33,0.0,91
251,483.0,88.0,11,2021-10-09,0.222,0.0,0.562,3,22.29,75,0.64,0.0,88
252,550.0,98.0,12,2021-10-09,0.0,0.0,0.341,4,23.69,70,0.79,0.0,88
253,527.0,123.0,13,2021-10-09,0.0,0.0,0.337,4,24.7,67,0.84,0.0,93
254,448.0,149.0,14,2021-10-09,0.0,0.0,0.334,3,19.34,69,1.02,0.0,89
255,317.0,161.0,15,2021-10-09,0.143,0.0,0.562,2,25.14,63,1.51,0.0,90
256,163.0,152.0,16,2021-10-09,0.075,0.0,0.476,2,18.31,70,1.99,0.0,92
257,51.0,109.0,17,2021-10-09,0.391,0.0,0.178,1,23.54,75,1.71,0.0,92
258,6.0,31.0,18,2021-10-09,0.49,0.0,0.03,0,21.89,79,1.45,0.0,97
259,0.0,0.0,19,2021-10-09,1.089,0.0,0.0,0,21.31,82,1.61,0.0,97
260,0.0,0.0,20,2021-10-09,0.985,0.0,0.0,0,20.74,86,1.68,0.0,96
261,0.0,0.0,21,2021-10-09,0.732,0.0,0.0,0,20.25,86,2.14,0.0,99
262,0.0,0.0,22,2021-10-09,0.685,0.0,0.0,0,20.54,69,2.2,0.0,87
263,0.0,0.0,23,2021-10-09,0.666,0.0,0.0,0,20.7,57,1.78,0.0,87
264,0.0,0.0,0,2021-10-10,0.735,0.0,0.0,0,19.75,59,1.88,0.0,87
265,0.0,0.0,1,2021-10-10,0.566,0.0,0.0,0,19.75,60,2.25,0.0,91
266,0.0,0.0,2,2021-10-10,0.323,0.0,0.0,0,20.43,49,2.51,0.0,90
267,0.0,0.0,3,2021-10-10,0.274,0.0,0.0,0,16.02,74,2.71,0.0,88
268,0.0,0.0,4,2021-10-10,0.275,0.0,0.0,0,17.88,71,2.78,0.0,92
269,0.0,0.0,5,2021-10-10,0.274,0.0,0.0,0,17.99,69,2.9,0.0,95
270,0.0,0.0,6,2021-10-10,0.272,0.0,0.0,0,18.47,50,3.1,0.0,81
271,1.0,2.0,7,2021-10-10,0.27,0.0,0.001,0,17.93,53,3.33,0.0,63
272,65.0,36.0,8,2021-10-10,0.088,0.0,0.199,1,18.48,54,3.97,0.0,56
273,216.0,62.0,9,2021-10-10,0.063,0.0,0.315,3,19.59,54,4.15,0.0,51
274,359.0,82.0,10,2021-10-10,0.027,0.0,0.321,3,20.17,53,4.59,0.0,20
275,447.0,112.0,11,2021-10-10,0.153,0.0,0.457,3,22.4,48,4.88,0.0,18
276,405.0,186.0,12,2021-10-10,0.958,0.0,1.016,2,24.05,45,4.49,0.0,35
277,576.0,95.0,13,2021-10-10,0.007,0.0,0.509,3,24.96,44,3.94,0.0,69
278,532.0,97.0,14,2021-10-10,0.014,0.0,0.388,4,24.18,43,3.34,0.0,80
279,414.0,107.0,15,2021-10-10,0.01,0.0,0.447,3,24.7,42,2.49,0.0,78
280,305.0,81.0,16,2021-10-10,0.016,0.0,0.346,3,24.63,42,1.38,0.0,22
